"Toll Brothers - Space Statistics"
"User","apiselli@tollbrothers.com"
"Last refreshed","2025-05-02"
"Timeframe","Lifetime"

"Space name","Space Details URL","Parent folder name","Internal ID","Presented By","Contact name","Address","Public status","Deleted status","Created Date","Impressions","Visits","Unique Visitors"
"The Sky Lounge at 10 Provost Street at Provost Square","https://my.matterport.com/models/1ivQDyXzX7K","10 Provost Street","10 Provost Street at Provost Square 3964","Toll Brothers City Living","","10 Provost St, Jersey City, NJ, 07302, US","Public","Not Deleted","2019-06-05","42293","19629","11962"
"The Gilmore Desert Contemporary","https://my.matterport.com/models/1jkwtpzmRRb","Archived","Gilmore (NV) 2KE, Regency at Summerlin - Summit 3816","Toll Brothers","","6709 Regency Ridge Court, Las Vegas, NV, 89148, US","Not Public","Not Deleted","2016-12-19","67031","36643","23093"
"The Prescott Chateau","https://my.matterport.com/models/1KdVb27G3Sx","Model Homes","Prescott 3ND, The Bluffs at Tassajara Hills 3885","Toll Brothers","","7391 Colton Hills Drive, Dublin, CA, 94568, US","Not Public","Not Deleted","2018-02-21","49548","33922","16673"
"The Bayberry","https://my.matterport.com/models/1mXfEcdyJ3r","Spin-Off Home Designs","Wakefield 1T1, Regency at Damonte Ranch - Woodridge 3806","Toll Brothers","","Hafflinger Court, Reno, NV, 89521, US","Public","Not Deleted","2019-02-08","7667","5764","3050"
"The Gladwyne","https://my.matterport.com/models/1P2VNn3Crwt","Archived","Gladwyne 176, Mews at Laurel Creek 1091","Toll Brothers","","111 Sarazen Drive, Moorestown, NJ, 08057, US","Not Public","Not Deleted","2015-06-12","8","0","0"
"The Lazio Italianate","https://my.matterport.com/models/1poHDBzcqSe","Model Homes","Lazio 4QB, Estancia at Yorba Linda 4322","Toll Brothers","","18332 Tytris Way, Yorba Linda, CA, 92886, US","Public","Not Deleted","2019-02-23","83826","53858","28635"
"The Reston Modern Farmhouse","https://my.matterport.com/models/1re1w4tydXH","Model Homes","Reston 4CP, Dominon Valley CC - Executives 0960","Toll Brothers","","15145 Sky Valley Drive, Haymarket, VA, 20169, US","Public","Not Deleted","2018-12-04","14753","11699","5887"
"The Raleigh Design Studio","https://my.matterport.com/models/1RUVY6yh7Ks","Design Studios","Raleigh Design Studio","Toll Brothers","","900 Perimeter Park Drive, Morrisville, NC, 27560, US","Public","Not Deleted","2020-03-27","11522","8016","4032"
"The Laramie Tuscan","https://my.matterport.com/models/1sQZNE4AQbK","Model Homes","Laramie 49H, Mason Ridge at Bella Vista Ranch 3915","Toll Brothers","","9303 Sky Dune Way, Reno, NV, 89521, US","Public","Not Deleted","2019-02-20","29646","16547","9122"
"The Shipley Heritage","https://my.matterport.com/models/1u3DNG9pgYR","Model Homes","Shipley 2HK, Liseter - The Merion Collection 3033","Toll Brothers","","3701 Chase Court, Newtown Square, PA, 19073, US","Public","Not Deleted","2017-06-17","8959","5469","3370"
"The Draper High Plains","https://my.matterport.com/models/1UPwwXMABsv","Model Homes","Draper 3X6, Woodson's Reserve - Wooded Bend 3622","Toll Brothers","","3903 Rolling Thicket Drive, Spring, TX, 77386, US","Public","Not Deleted","2018-01-19","117154","63859","40124"
"The Bronson Country Manor","https://my.matterport.com/models/1uXrXsbBM26","Archived","Bronson 1ME, Princeton Manor 730","Toll Brothers","","54 Inverness Drive, Kendall Park, NJ, 08824, US","Not Public","Not Deleted","2016-08-11","197","166","122"
"The Warwick Farmhouse","https://my.matterport.com/models/1UYPuSMzQWe","Model Homes","Warwick 5K7, Sterling Grove - Providence Collection 3997","Toll Brothers","","11896 North Hershey Street, Surprise, AZ, 85388, US","Public","Not Deleted","2020-01-10","18772","10557","7036"
"The Catalan Ranch","https://my.matterport.com/models/1xHWzQy1QGx","Model Homes","Catalan 58L, The Crossings at Meridian 4486","Toll Brothers","","22793 East Via, Del Sol Queen Creek, AZ, 85142, US","Public","Not Deleted","2019-02-25","65200","27879","16493"
"The Swarthmore Country Manor","https://my.matterport.com/models/1ZWVLLmiLsw","Model Homes","Swarthmore 3A6, Fenton's Corner - The Carriages Col. 3944","Toll Brothers","","4848 East Blossom Drive, Buckingham, PA, 18912, US","Public","Not Deleted","2018-08-24","20433","10331","5480"
"The Orion Heritage","https://my.matterport.com/models/23jSZ9mF1zq","Model Homes","Orion 72R, Vista Point at Southshore 4077","Toll Brothers","","27371 East Lakeview Drive, Aurora, CO, 80016, US","Public","Not Deleted","2018-05-31","75586","52211","25241"
"The Villa Lago Mediterranean","https://my.matterport.com/models/288SYGwqvxE","Archival to Deletion March 2025","Villa Lago 73V, Royal Palm Polo - Signature Collection 3448","Toll Brothers","","2707 Northwest 71st Boulevard, Boca Raton, FL, 33496, US","Not Public","Not Deleted","2017-06-30","1154","834","509"
"The Desana Tuscan","https://my.matterport.com/models/2AFQ6wR6odE","QMI - Unstaged Homes","Desana 4CA, Serena at Gale Ranch 3650","Toll Brothers","","65 Woodshore Court, San Ramon, CA, 94582, US","Public","Not Deleted","2020-03-27","1388","916","347"
"The Amenities at Huntingdon Place","https://my.matterport.com/models/2dh6Ee2RDnf","Amenities","Huntingdon Place 1502","Toll Brothers","","700 Welsh Road, Huntingdon Valley, PA, 19006, US","Public","Not Deleted","2017-07-10","21658","8571","6010"
"The Sundance Desert Contemporary","https://my.matterport.com/models/2FbQ3fgv7o1","Archived","Sundance 2KJ, Regency at Summerlin - Palisades 3817","Toll Brothers","","6689 Regency Ridge Court, Las Vegas, NV, 89148, US","Not Public","Not Deleted","2016-12-20","51084","29933","19612"
"The Navarra Mission","https://my.matterport.com/models/2HcMtJeGtnB","Model Homes","Navarra 2LP, Cantera at Gale Ranch 3644","Toll Brothers","","3009 Blackberry Avenue, San Ramon, CA, 94582, US","Not Public","Not Deleted","2017-02-08","3573","2038","1358"
"The Haywood Cottage","https://my.matterport.com/models/2iS6UZPkKGL","Model Homes","Haywood 3Z4, North Hill - The Overlook Collection 4106","Toll Brothers","","14153 Kearney Loop, Thornton, CO, 80602, US","Public","Not Deleted","2019-01-18","69394","43673","24011"
"The Rosslyn Modern Farmhouse","https://my.matterport.com/models/2kd131uUiF2","Model Homes","Rosslyn 4CQ, Lenah Mill - The Estates 1773","Toll Brothers","","41497 Lavender Breeze Circle, Aldie, VA, 20105, US","Public","Not Deleted","2019-05-01","95835","56067","31077"
"The Silverton","https://my.matterport.com/models/2mwKvpaCQQ2","Archived","Sidney 0BY, Pinnacle at Inglewood Hill - Signature 3759","Toll Brothers","","867 224 Avenue NE, Sammamish, WA, 98074, US","Not Public","Not Deleted","2020-03-27","638","361","225"
"The Rivanna Mediterranean","https://my.matterport.com/models/2MxxnvZmRcb","Archived","Rivanna 38D, The Crossings at Baker Ranch 3413","Toll Brothers","","22 Torosa, Lake Forest, CA, 92630, US","Not Public","Not Deleted","2016-10-13","6720","4200","2674"
"The Cadiz Spanish Colonial","https://my.matterport.com/models/2qnNNqkNksU","Archived","Cadiz 981, Treviso 1124","Toll Brothers","","10798 East Via Cortana Road, Scottsdale, AZ, 85262, US","Not Public","Not Deleted","2016-02-23","125228","75395","43122"
"The Sorrento Mission","https://my.matterport.com/models/2qY4eESEvPF","Archived","Sorrento (NV) 32X, Altura 3691","Toll Brothers","","11946 Girasole Avenue, Las Vegas, NV, 89138, US","Not Public","Not Deleted","2016-12-22","28665","20420","10674"
"The Quincy","https://my.matterport.com/models/2S9Ye46wdxb","Spin-Off Home Designs","Stony Ridge 2KF, Regency at Damonte Ranch - Tamarack 3804","Toll Brothers","","9940 Hafflinger Lane, Reno, NV, 89521, US","Public","Not Deleted","2019-02-08","4628","3135","1597"
"The La Morra Spanish Colonial","https://my.matterport.com/models/2SuMTKiCSEa","Model Homes","La Morra 0QE, Masters at Moorpark Country Club 2946","Toll Brothers","","7328 Augusta Drive, Moorpark, CA, 93021, US","Public","Not Deleted","2017-03-25","10071","5242","3269"
"The Forest Grove Wellesley","https://my.matterport.com/models/2SWMH7NBtZ4","Model Homes","Forest Grove 4V6, Regency at Palisades 3221","Toll Brothers","","15106 High Bluff Court, Charlotte, NC, 28278, US","Public","Not Deleted","2020-03-30","29764","17041","10278"
"The Stuart with Basement","https://my.matterport.com/models/2vLbbpTDGS6","Archived","Stuart with Basement 2DL, Pinecrest at Issaquah High. 3531","Toll Brothers","","1361 Pinecrest Circle Northeast, Issaquah, WA, 98029, US","Not Public","Not Deleted","2016-06-06","7149","5061","2937"
"The Friberg Prairie","https://my.matterport.com/models/2WWKw3VPJn3","Model Homes","Friberg 59Q, Can. Point at Trav. Mount. - The Sum. Col. 4287","Toll Brothers","","1919 West Oakridge Drive, Lehi, UT, 84043, US","Public","Not Deleted","2019-09-23","63179","44227","25286"
"The Collet Farmhouse","https://my.matterport.com/models/2YfrJFZ15T1","QMI - Unstaged Homes","Collet 59P, Can. Point at Trav. Mount. - The Sum. Col. 4287","Toll Brothers","","1928 West Oak Hollow Circle, Lehi, UT, 84043, US","Public","Not Deleted","2020-02-22","959","513","352"
"The Clubhouse at Presidio at Damonte Ranch","https://my.matterport.com/models/2zTqmtzqHTH","Amenities","Presidio at Damonte Ranch 3560","Toll Brothers","","9700 Regency Park Drive, Reno, NV, 89521, US","Not Public","Not Deleted","2017-02-14","3586","1788","1422"
"The Perugia Italianate","https://my.matterport.com/models/32RAas5Abbq","Model Homes","Perugia 3X2, Avalon at Plum Canyon 3670","Toll Brothers","","19132 Lauren Lane, Saugus, CA 91350, United States","Public","Not Deleted","2018-06-19","26199","18149","10016"
"The Captiva Craftsman","https://my.matterport.com/models/34KKWjXPuPe","Archival to Deletion March 2025","Captiva 26G, Julington Lakes - Heritage Col. 3552","Toll Brothers","","257 Pine Haven Drive, St. John’s, FL, 32259, US","Not Public","Not Deleted","2020-03-29","409","166","116"
"The Astoria Monterey","https://my.matterport.com/models/34m2WmzRqgw","Model Homes","Astoria (CA) 3NM, The Glen at Tassajara Hills 3883","Toll Brothers","","7321 Colton Hills Drive, Dublin, CA, 94568, US","Not Public","Not Deleted","2018-02-16","20495","14569","8498"
"The Olimpico Coastal Contemporary","https://my.matterport.com/models/36BbUqVpW2G","Model Homes","Olimpico 4X3, Estancia at Yorba Linda 4322","Toll Brothers","","18360 Tytris Way, Yorba Linda, CA, 92886, US","Public","Not Deleted","2019-02-23","30517","24642","10592"
"The Del Rey Tuscan","https://my.matterport.com/models/37Qy2igd5ju","Archived","Del Rey (CA) 36A, Summit at Baker Ranch 3811","Toll Brothers","","21 Sorrel, Lake Forest, CA, 92630, US","Not Public","Not Deleted","2016-08-31","6787","4767","3173"
"The Aberdeen","https://my.matterport.com/models/38sHDc7rmD1","Spin-Off Home Designs","Delamar 2KD, Regency at Damonte Ranch - Tamarack 3804","Toll Brothers","","9920 Hafflinger Lane, Reno, NV, 89521, US","Public","Not Deleted","2019-02-08","7473","4998","2447"
"The Deerfield Aberdeen","https://my.matterport.com/models/3EaV1YZpPT8","Model Homes","Deerfield 0AA, Hasentree - Golf Villas Collection 3018","Toll Brothers","","1020 Keith Road, Wake Forest, NC, 27587, US","Public","Not Deleted","2017-11-10","12893","8343","4991"
"The Saratoga Italianate","https://my.matterport.com/models/3FGXH9zsFSY","Archived","Saratoga 2HR, Bella Vista at Porter Ranch - Bluffs 3680","Toll Brothers","","12035 Ricasoli Way, Porter Ranch, CA, 91326, US","Not Public","Not Deleted","2016-07-21","11088","6837","3907"
"The Carson Country Manor","https://my.matterport.com/models/3GZQrD3ohyn","Model Homes","Carson 1SZ, Toll Bros. at Inspiration - Jefferson 3837","Toll Brothers","","8383 South Winnipeg Court, Aurora, CO, 80016, US","Public","Not Deleted","2016-06-30","91497","50181","29877"
"The Elkton Williamsburg","https://my.matterport.com/models/3i492QSwkH4","Archived","Elkton 621, Weyhill Estates at Upper Saucon 3183","Toll Brothers","","1920 Rainlilly Drive, Lehigh County, PA, 18034, US","Not Public","Not Deleted","2015-12-04","144853","89102","49701"
"The Duke Carolina","https://my.matterport.com/models/3MuqTEy8KM2","Model Homes","Duke 718, Tanglewood Hills 3487","Toll Brothers","","425 Brady Way, Batavia, IL, 60510, US","Public","Not Deleted","2017-09-09","39654","22610","13197"
"The Quinton Transitional","https://my.matterport.com/models/3PGnCm7wCqD","QMI - Staged Homes","Quinton 4FP, NorthGrove - Exec. Col. 3482","Toll Brothers","","8564 Alford Point Dr, Magnolia, TX, 77354, US","Public","Not Deleted","2020-03-25","339","215","164"
"The Crestwood Farmhouse","https://my.matterport.com/models/3pti5TQ3Fm6","Model Homes","Crestwood 4FJ, Trailwoods of Ann Arbor - The Village 4161","Toll Brothers","","6450 North Trailwoods Drive, Ann Arbor, MI, 48103, US","Public","Not Deleted","2018-07-17","32254","18707","10723"
"Residences 15-17A","https://my.matterport.com/models/3PVW98XYCNX","91 Leonard","91 Leonard 4323","Toll Brothers City Living","","91 Leonard Street, New York, NY, 10013, US","Public","Not Deleted","2019-09-19","7228","3730","2609"
"The Ralston Country Manor","https://my.matterport.com/models/3Qtg9yk62ZE","Model Homes","Ralston 3DQ, Toll Bros. at Flatiron Meadows - The Vis. 3612","Toll Brothers","","1094 Carbonate Court, Erie, CO, 80516, US","Public","Not Deleted","2018-05-30","159872","96424","50556"
"The Tradition Farmhouse","https://my.matterport.com/models/3TSParudhto","Archived","Tradition 344, Regency at Creekside - The Middleburg 3227","Toll Brothers","","13788 Long Ridge Drive, Haymarket, VA, 20169, US","Not Public","Not Deleted","2016-10-25","65882","40151","22337"
"The Windom Mountain","https://my.matterport.com/models/3WJ2RmyoKgH","Archived","Windom 1RK, Anthem Ranch by Toll Brothers - Broomfield 3490","Toll Brothers","","4118 San Luis Way, Broomfield, CO, 80023, US","Not Public","Not Deleted","2015-10-06","20448","11638","7314"
"The Glenrosa Spanish Colonial","https://my.matterport.com/models/3XrRvcj8Gsd","QMI - Unstaged Homes","Glenrosa 5JN, Alicante at Stonebrook 4210","Toll Brothers","","8048 Furnace Creek Drive, Sparks, NV, 89436, US","Public","Not Deleted","2020-03-29","15","12","10"
"The Varese Andalusian","https://my.matterport.com/models/3xSLW4HCaQe","Model Homes","Varese 3XZ, Villa Lago at The Promontory 1763","Toll Brothers","","1570 Elmores Way, El Dorado Hills, CA, 95762, US","Not Public","Not Deleted","2017-02-02","18690","12717","7427"
"The Artemis Chateau","https://my.matterport.com/models/45N1L53Y9nz","QMI - Staged Homes","Artemis 3UV, Solano at Altair 3956","Toll Brothers","","128 Interstellar, Irvine, CA, 92618, US","Public","Not Deleted","2020-03-30","967","591","418"
"The Porter Prairie","https://my.matterport.com/models/46FM314qF6N","QMI - Unstaged Homes","Porter 59W, Can. Point at Trav. Mount. - The Cas. Col. 4286","Toll Brothers","","1892 West Oakridge Drive, Lehi, UT, 84043, US","Public","Not Deleted","2020-02-22","1651","878","497"
"The Jackson Shingle","https://my.matterport.com/models/47JDFCARtyr","Model Homes","Jackson 4E4, Meridian Grove 4279","Toll Brothers","","11 232nd Place SE, Bothell, WA, 98021, US","Public","Not Deleted","2019-03-21","23850","13335","6597"
"The Westbury Transitional","https://my.matterport.com/models/48KGKJRkwQ1","QMI - Unstaged Homes","Westbury 4C5, The Reserve at Katy - The Trace 4129","Toll Brothers","","27426 Haywood Lane, Katy, TX, 77494, US","Public","Not Deleted","2020-03-26","88884","38749","25382"
"The Rooftop Terrace at 121 E 22nd","https://my.matterport.com/models/48ZC3W3fCMR","121 East 22nd","121 East 22nd 4041","Toll Brothers City Living","","121 East 22nd Street, New York, NY, 10010, US","Public","Not Deleted","2019-08-30","9984","6044","4795"
"The Logan Mountain","https://my.matterport.com/models/4CbQqvKk6XV","Model Homes","Logan 1SY, Anthem Ranch by Toll Brothers - Jefferson 3489","Toll Brothers","","4118 San Luis Way, Broomfield, CO, 80023, US","Public","Not Deleted","2015-09-02","69698","38988","25023"
"The Washington Design Studio","https://my.matterport.com/models/4eB8uKVzYgn","Design Studios","Washington Design Studio","Toll Brothers","","101 10th Street South Suite 102, Kirkland, WA, 98033, US","Not Public","Not Deleted","2019-09-26","588","167","49"
"The Grandville Heritage","https://my.matterport.com/models/4ewaMtiRZQ9","Archival to Deletion March 2025","Granville 20Q, Coastal Oaks at Nocatee - Ambassador 1758","Toll Brothers","","28 Lighthouse Point Circle, Ponte Vedra Beach, FL, 32081, US","Not Public","Not Deleted","2015-12-15","28446","16910","10541"
"The Catalan Modern","https://my.matterport.com/models/4eYgyYB1fq8","QMI - Unstaged Homes","Catalan 58L, The Crossings at Meridian 4486","Toll Brothers","","22744 E. Via Del Sol Queen Creek Arizona 85142 United States","Public","Not Deleted","2020-04-03","1190","748","588"
"The Trevari Italian Villa","https://my.matterport.com/models/4GBe8FsRMa9","Model Homes","Trevari 2HT, Romana at Gale Ranch 3651","Toll Brothers","","6117 Alpine Blue Drive, San Ramon, CA, 94582, US","Not Public","Not Deleted","2017-02-09","3686","2364","1218"
"The Arroyo Italianate","https://my.matterport.com/models/4HaE1xX1Luo","Archived","Arroyo 483, Windgate Ranch Scottsdale - Cassia 1374","Toll Brothers","","17775 North 101st Way, Scottsdale, AZ, 85255, US","Not Public","Not Deleted","2016-03-10","4156","2259","1599"
"The Colline Tuscan","https://my.matterport.com/models/4j1wx3csHFV","Model Homes","Colline 48J, Borello Ranch Estates 3982","Toll Brothers","","18600 Corte Bautista, Morgan Hill, CA, 95037, US","Public","Not Deleted","2019-02-20","57255","33916","18647"
"The Ashwood Elite Farmhouse","https://my.matterport.com/models/4kn4hkWN2bx","Model Homes","Ashwood Elite 3D4, Sierra Creek at Bella Vista Ranch 3913","Toll Brothers","","9520 Baldacci Court, Reno, NV, 89521, US","Public","Not Deleted","2017-03-31","10253","7318","3893"
"The Abbeyville Chateau","https://my.matterport.com/models/4LjURH1pXYm","Archived","Abbeyville 2K1, Somerset Green 3571","Toll Brothers","","819 Dunleigh Meadows Lane, Houston, TX, 77055, US","Not Public","Not Deleted","2015-11-23","27711","14967","9698"
"The Bryn Athyn Wellesley","https://my.matterport.com/models/4m4M6XzjiMU","Model Homes","Bryn Athyn 13U, Regency at Yardley - Carriages 3051","Toll Brothers","","159 Tyler Way, Yardley, PA, 19067, US","Public","Not Deleted","2017-07-03","108207","67398","38423"
"The Crimson","https://my.matterport.com/models/4m9Q7szXa5R","Archived","Berkshire (NV) 2KN, Willow Bend at Saddle Ridge 3802","Toll Brothers","","2880 Ethelinda Way, Reno, NV, 89521, US","Not Public","Not Deleted","2019-01-25","4076","2308","1384"
"The Solitaire","https://my.matterport.com/models/4mnEuqdUEnT","QMI - Unstaged Homes","Solitaire 3UX, Solano at Altair 3956","Toll Brothers","","51 Egret, Irvine, CA, 92679, US","Public","Not Deleted","2020-03-30","439","395","269"
"The Sage Italianate","https://my.matterport.com/models/4mt1RKcs4wk","Archived","Sage 35N, Canyon Oaks 3688","Toll Brothers","","11010 Sweetwater Court, Chatsworth, CA, 91311, US","Not Public","Not Deleted","2016-10-12","92401","58286","32272"
"The Recreation Center at Parkside","https://my.matterport.com/models/4oR8uiujiHq","Amenities","Parkside 3919","Toll Brothers","","1 Pinnacle Drive, Lake Forest, CA, 92630, US","Public","Not Deleted","2017-09-07","2336","1303","1074"
"Residence C-P1","https://my.matterport.com/models/4rmW25VKXVM","Model Homes","Chancery Lane at Metro Crossing 3518","Toll Brothers City Living","","45218 Navigation Street, Fremont, CA, 94539, US","Public","Not Deleted","2020-01-30","26740","16888","10075"
"The Costa Verde Tuscan","https://my.matterport.com/models/4SA4Yr7PWfF","Archived","Costa Verde 34H, Toll Bros. at Rob.. Ran. - The Vistas 3663","Toll Brothers","","2887 Wellspring Street, Carlsbad, CA, 92010, US","Not Public","Not Deleted","2016-05-27","9351","6721","3696"
"The Sycamore Tuscan","https://my.matterport.com/models/4SanGb9WyEL","Model Homes","Sycamore 35Y, Viewpoint at Baker Ranch 3810","Toll Brothers","","50 Cooper, Lake Forest, CA, 92630, US","Public","Not Deleted","2017-04-10","8275","5852","3230"
"The Valmont Provincial","https://my.matterport.com/models/4sMWxuraCaq","Archived","Valmont 839, The Preserve at McKay Shores 3159","Toll Brothers","","1680 Tiverton Avenue, Broomfield, CO, 80023, US","Not Public","Not Deleted","2015-10-06","30355","19891","10845"
"The San Tropez Country Manor","https://my.matterport.com/models/4UHyz1oNGwf","Model Homes","San Tropez 384, Coastal Oaks at Nocatree - Ambassador 3195","Toll Brothers","","39 Portsmouth Bay Avenue, Ponte Vedra Beach, FL, 32081, US","Public","Not Deleted","2017-04-21","66198","39134","22198"
"The Bavaro Palm Beach","https://my.matterport.com/models/4UvYLvsW8sS","Model Homes","Bavaro 3PK, Lakeshore - Executive Collection 3546","Toll Brothers","","8836 Lakeshore Pointe Drive, Winter Garden, FL, 34787, US","Public","Not Deleted","2019-06-19","38196","23130","14652"
"The Aragon Bordeaux","https://my.matterport.com/models/4uwdMNnm9xy","Archival to Deletion March 2025","Aragon 519, Bonita Lakes - Estates 3057","Toll Brothers","","23023 Sanabria Loop, Bonita Springs, FL, 34135, US","Not Public","Not Deleted","2016-03-28","11720","6378","3739"
"The Westlake Tudor","https://my.matterport.com/models/4wVaapMpVTZ","Model Homes","Westlake 3A9, Ridgeview Crossing - The Villas 6024","Toll Brothers","","2464 Electra Drive, Allen, TX, 75013, US","Public","Not Deleted","2020-01-28","23079","9676","5229"
"The Mayberry Tuscan","https://my.matterport.com/models/4yR4TV4AUze","Archived","Mayberry 2HN, Avila at Porter Ranch - Glen Collection 3681","Toll Brothers","","11939 Mirabel Way, Porter Ranch, CA, 91326, US","Not Public","Not Deleted","2016-07-15","11184","6688","4365"
"The Columbia II Glenshire","https://my.matterport.com/models/53t3eeSprqS","Model Homes","Columbia II 524, Reserve at Medina 3379","Toll Brothers","","787 Aster Road, Medina, MN, 55340, US","Public","Not Deleted","2018-12-14","7240","4628","2634"
"The Amenities at 400 Park Avenue South","https://my.matterport.com/models/54ejSAPiCNW","Archived","400 Park Avenue South 3213","Toll Brothers","","400 Park Avenue South, New York, NY, 10016, US","Not Public","Not Deleted","2016-02-03","31175","10257","8565"
"The Lounge at 121 E 22nd","https://my.matterport.com/models/5aPQJWYqQnh","121 East 22nd","121 East 22nd 4041","Toll Brothers City Living","","121 East 22nd Street, New York, NY, 10010, US","Public","Not Deleted","2019-08-30","9096","5718","4664"
"The Siuslaw","https://my.matterport.com/models/5CNf2UMasVU","Spin-Off Home Designs","Sahalee 1VM, Bayview at Gig Harbor 4023","Toll Brothers","","13301 55th Avenue Northwest, Gig Harbor, WA, 98332, US","Public","Not Deleted","2018-12-03","12","12","5"
"The Sandstone Mid-Century Modern","https://my.matterport.com/models/5cqgP5VDi14","Model Homes","Sandstone 5CH, Mesa Ridge - Overlook Collection 4361","Toll Brothers","","0932 White Clay Drive, Las Vegas, NV, 89135, US","Public","Not Deleted","2019-11-13","72755","42949","24770"
"The Treanna Tuscan","https://my.matterport.com/models/5cVdx7VEQpp","Archival to Deletion March 2025","Treanna 71L, Parkland Golf and CC - Heritage Collection 3080","Toll Brothers","","7827 Blue Sage Way, Parkland, FL, 33076, US","Not Public","Not Deleted","2016-02-17","18792","11701","6584"
"The Vassar Wellesley","https://my.matterport.com/models/5DFv43kp1y2","Model Homes","Vassar K36, Enclave at Ellis Preserve 3900","Toll Brothers","","202 Parris Boulevard, Newtown Square, PA, 19073, US","Public","Not Deleted","2018-01-25","65897","40062","23229"
"The Clairmont Modern Ranch","https://my.matterport.com/models/5Dkg58vw3Dv","Model Homes","Clairmont 5B4, Ridge. at Caram. Ranch - Sky Meadow Col. 4030","Toll Brothers","","3013 Amethyst Hills Drive, Reno, NV, 89521, US","Public","Not Deleted","2020-03-28","46528","23295","14801"
"The Senna Santa Barbara","https://my.matterport.com/models/5GfAx4zv4D3","Model Homes","Senna 3EM, Canyons at Porter Ranch - Pointe 3683","Toll Brothers","","20740 West Bur Oak Circle, Northridge, CA, 91326, US","Public","Not Deleted","2018-02-07","50348","34236","21667"
"The Avalon Ranch","https://my.matterport.com/models/5HboViNyJkz","QMI - Unstaged Homes","Avalon 58M, The Crossings at Meridian 4486","Toll Brothers","","22726 East Via Del Sol Queen Creek Arizona 85142 United States","Public","Not Deleted","2020-04-03","2869","1809","1512"
"The Sprague Shingle","https://my.matterport.com/models/5HkUMb5t79P","Model Homes","Sprague 5E1, Toll Bros. at Thompson Woods 4489","Toll Brothers","","12329 NW Fernleaf Lane, Portland, OR, 97229, US","Public","Not Deleted","2020-03-19","21824","11256","6977"
"The Oakhurst Mediterranean","https://my.matterport.com/models/5iDEco3QYx7","Model Homes","Oakhurst 3NA, The Bluffs at Tassajara Hills 3885","Toll Brothers","","7395 Colton Hills Drive, Dublin, CA, 94568, US","Not Public","Not Deleted","2018-02-11","49900","35298","17392"
"The Ridgeview Lexington","https://my.matterport.com/models/5k7ipVpYzqG","Model Homes","Ridgeview 3VB, Weatherstone 3507","Toll Brothers","","14300 Oak Meadow Road, Baldwin, MD, 21013, US","Public","Not Deleted","2018-09-20","117730","69699","32476"
