"Toll Brothers - Space Statistics"
"User","apiselli@tollbrothers.com"
"Last refreshed","2025-02-12"
"Timeframe","Lifetime"

"Space name","Space Details URL","Parent folder name","Internal ID","Presented By","Contact name","Address","Public status","Deleted status","Created Date","Impressions","Visits","Unique Visitors"
"The Raleigh Design Studio","https://my.matterport.com/models/1RUVY6yh7Ks","Design Studios","Raleigh Design Studio","Toll Brothers","","900 Perimeter Park Drive, Morrisville, NC, 27560, US","Public","Not Deleted","2020-03-27","11206","7639","3834"
"The Canaan New England","https://my.matterport.com/models/1RqmGUH5g5X","Model Homes","Canaan N02, Rivington by Toll Brothers - Mews 3109","Toll Brothers","","517 Center Meadow Lane, Danbury, CT, 06810, US","Public","Not Deleted","2017-08-17","8640","5697","3145"
"The Draper High Plains","https://my.matterport.com/models/1UPwwXMABsv","Model Homes","Draper 3X6, Woodson's Reserve - Wooded Bend 3622","Toll Brothers","","3903 Rolling Thicket Drive, Spring, TX, 77386, US","Public","Not Deleted","2018-01-19","116357","63763","40061"
"The Warwick Farmhouse","https://my.matterport.com/models/1UYPuSMzQWe","Model Homes","Warwick 5K7, Sterling Grove - Providence Collection 3997","Toll Brothers","","11896 North Hershey Street, Surprise, AZ, 85388, US","Public","Not Deleted","2020-01-10","18770","10552","7033"
"The Swarthmore Country Manor","https://my.matterport.com/models/1ZWVLLmiLsw","Model Homes","Swarthmore 3A6, Fenton's Corner - The Carriages Col. 3944","Toll Brothers","","4848 East Blossom Drive, Buckingham, PA, 18912, US","Public","Not Deleted","2018-08-24","20414","10294","5461"
"1425 Hudson - C Line Residences","https://my.matterport.com/models/1gNtEn35oHz","Archived","1425 Hudson Street at Hudson Tea 2179","Toll Brothers City Living","","1425 Hudson Street, Hoboken, NJ, 07030, US","Not Public","Not Deleted","2020-03-18","10618","6840","5223"
"The Johnson with Basement","https://my.matterport.com/models/1gs2SYPJWpj","Spin-Off Home Designs","Jefferson with Basement 1ZB, Pipers Glen 3460","Toll Brothers","","9922 Northeast 162nd Street, Bothell, WA, 98011, US","Public","Not Deleted","2018-12-03","4433","2254","1406"
"The Sky Lounge at 10 Provost Street at Provost Square","https://my.matterport.com/models/1ivQDyXzX7K","10 Provost Street","10 Provost Street at Provost Square 3964","Toll Brothers City Living","","10 Provost St, Jersey City, NJ, 07302, US","Public","Not Deleted","2019-06-05","42196","19611","11958"
"The Gilmore Desert Contemporary","https://my.matterport.com/models/1jkwtpzmRRb","Archived","Gilmore (NV) 2KE, Regency at Summerlin - Summit 3816","Toll Brothers","","6709 Regency Ridge Court, Las Vegas, NV, 89148, US","Not Public","Not Deleted","2016-12-19","67031","36643","23093"
"The Bayberry","https://my.matterport.com/models/1mXfEcdyJ3r","Spin-Off Home Designs","Wakefield 1T1, Regency at Damonte Ranch - Woodridge 3806","Toll Brothers","","Hafflinger Court, Reno, NV, 89521, US","Public","Not Deleted","2019-02-08","7600","5647","2984"
"The Lazio Italianate","https://my.matterport.com/models/1poHDBzcqSe","Model Homes","Lazio 4QB, Estancia at Yorba Linda 4322","Toll Brothers","","18332 Tytris Way, Yorba Linda, CA, 92886, US","Public","Not Deleted","2019-02-23","83750","53701","28480"
"The Reston Modern Farmhouse","https://my.matterport.com/models/1re1w4tydXH","Model Homes","Reston 4CP, Dominon Valley CC - Executives 0960","Toll Brothers","","15145 Sky Valley Drive, Haymarket, VA, 20169, US","Public","Not Deleted","2018-12-04","14753","11699","5887"
"The Laramie Tuscan","https://my.matterport.com/models/1sQZNE4AQbK","Model Homes","Laramie 49H, Mason Ridge at Bella Vista Ranch 3915","Toll Brothers","","9303 Sky Dune Way, Reno, NV, 89521, US","Public","Not Deleted","2019-02-20","29641","16533","9119"
"The Shipley Heritage","https://my.matterport.com/models/1u3DNG9pgYR","Model Homes","Shipley 2HK, Liseter - The Merion Collection 3033","Toll Brothers","","3701 Chase Court, Newtown Square, PA, 19073, US","Public","Not Deleted","2017-06-17","8959","5469","3370"
"The Bronson Country Manor","https://my.matterport.com/models/1uXrXsbBM26","Archived","Bronson 1ME, Princeton Manor 730","Toll Brothers","","54 Inverness Drive, Kendall Park, NJ, 08824, US","Not Public","Not Deleted","2016-08-11","197","166","122"
"The Catalan Ranch","https://my.matterport.com/models/1xHWzQy1QGx","Model Homes","Catalan 58L, The Crossings at Meridian 4486","Toll Brothers","","22793 East Via, Del Sol Queen Creek, AZ, 85142, US","Public","Not Deleted","2019-02-25","65174","27842","16485"
"The Orion Heritage","https://my.matterport.com/models/23jSZ9mF1zq","Model Homes","Orion 72R, Vista Point at Southshore 4077","Toll Brothers","","27371 East Lakeview Drive, Aurora, CO, 80016, US","Public","Not Deleted","2018-05-31","75552","52125","25220"
"The Villa Lago Mediterranean","https://my.matterport.com/models/288SYGwqvxE","Model Homes","Villa Lago 73V, Royal Palm Polo - Signature Collection 3448","Toll Brothers","","2707 Northwest 71st Boulevard, Boca Raton, FL, 33496, US","Public","Not Deleted","2017-06-30","1153","833","509"
"The Sundance Desert Contemporary","https://my.matterport.com/models/2FbQ3fgv7o1","Archived","Sundance 2KJ, Regency at Summerlin - Palisades 3817","Toll Brothers","","6689 Regency Ridge Court, Las Vegas, NV, 89148, US","Not Public","Not Deleted","2016-12-20","51084","29933","19612"
"The Navarra Mission","https://my.matterport.com/models/2HcMtJeGtnB","Model Homes","Navarra 2LP, Cantera at Gale Ranch 3644","Toll Brothers","","3009 Blackberry Avenue, San Ramon, CA, 94582, US","Not Public","Not Deleted","2017-02-08","3573","2038","1358"
"The Rivanna Mediterranean","https://my.matterport.com/models/2MxxnvZmRcb","Archived","Rivanna 38D, The Crossings at Baker Ranch 3413","Toll Brothers","","22 Torosa, Lake Forest, CA, 92630, US","Not Public","Not Deleted","2016-10-13","6720","4200","2674"
"The Quincy","https://my.matterport.com/models/2S9Ye46wdxb","Spin-Off Home Designs","Stony Ridge 2KF, Regency at Damonte Ranch - Tamarack 3804","Toll Brothers","","9940 Hafflinger Lane, Reno, NV, 89521, US","Public","Not Deleted","2019-02-08","4626","3133","1597"
"The La Morra Spanish Colonial","https://my.matterport.com/models/2SuMTKiCSEa","Model Homes","La Morra 0QE, Masters at Moorpark Country Club 2946","Toll Brothers","","7328 Augusta Drive, Moorpark, CA, 93021, US","Public","Not Deleted","2017-03-25","10070","5240","3269"
"The Friberg Prairie","https://my.matterport.com/models/2WWKw3VPJn3","Model Homes","Friberg 59Q, Can. Point at Trav. Mount. - The Sum. Col. 4287","Toll Brothers","","1919 West Oakridge Drive, Lehi, UT, 84043, US","Public","Not Deleted","2019-09-23","62169","42610","24375"
"The Collet Farmhouse","https://my.matterport.com/models/2YfrJFZ15T1","QMI - Unstaged Homes","Collet 59P, Can. Point at Trav. Mount. - The Sum. Col. 4287","Toll Brothers","","1928 West Oak Hollow Circle, Lehi, UT, 84043, US","Public","Not Deleted","2020-02-22","957","511","349"
"The Amenities at Huntingdon Place","https://my.matterport.com/models/2dh6Ee2RDnf","Amenities","Huntingdon Place 1502","Toll Brothers","","700 Welsh Road, Huntingdon Valley, PA, 19006, US","Public","Not Deleted","2017-07-10","21657","8571","6010"
"The Haywood Cottage","https://my.matterport.com/models/2iS6UZPkKGL","Model Homes","Haywood 3Z4, North Hill - The Overlook Collection 4106","Toll Brothers","","14153 Kearney Loop, Thornton, CO, 80602, US","Public","Not Deleted","2019-01-18","69357","43599","24011"
"The Rosslyn Modern Farmhouse","https://my.matterport.com/models/2kd131uUiF2","Model Homes","Rosslyn 4CQ, Lenah Mill - The Estates 1773","Toll Brothers","","41497 Lavender Breeze Circle, Aldie, VA, 20105, US","Public","Not Deleted","2019-05-01","93338","50761","27490"
"The Silverton","https://my.matterport.com/models/2mwKvpaCQQ2","Archived","Sidney 0BY, Pinnacle at Inglewood Hill - Signature 3759","Toll Brothers","","867 224 Avenue NE, Sammamish, WA, 98074, US","Not Public","Not Deleted","2020-03-27","638","361","225"
"The Sorrento Mission","https://my.matterport.com/models/2qY4eESEvPF","Archived","Sorrento (NV) 32X, Altura 3691","Toll Brothers","","11946 Girasole Avenue, Las Vegas, NV, 89138, US","Not Public","Not Deleted","2016-12-22","28665","20420","10674"
"The Cadiz Spanish Colonial","https://my.matterport.com/models/2qnNNqkNksU","Archived","Cadiz 981, Treviso 1124","Toll Brothers","","10798 East Via Cortana Road, Scottsdale, AZ, 85262, US","Not Public","Not Deleted","2016-02-23","125228","75395","43122"
"The Stuart with Basement","https://my.matterport.com/models/2vLbbpTDGS6","Archived","Stuart with Basement 2DL, Pinecrest at Issaquah High. 3531","Toll Brothers","","1361 Pinecrest Circle Northeast, Issaquah, WA, 98029, US","Not Public","Not Deleted","2016-06-06","7149","5061","2937"
"The Clubhouse at Presidio at Damonte Ranch","https://my.matterport.com/models/2zTqmtzqHTH","Amenities","Presidio at Damonte Ranch 3560","Toll Brothers","","9700 Regency Park Drive, Reno, NV, 89521, US","Not Public","Not Deleted","2017-02-14","3586","1788","1422"
"The Perugia Italianate","https://my.matterport.com/models/32RAas5Abbq","Model Homes","Perugia 3X2, Avalon at Plum Canyon 3670","Toll Brothers","","19132 Lauren Lane, Saugus, CA 91350, United States","Public","Not Deleted","2018-06-19","26184","18128","10016"
"The Astoria Monterey","https://my.matterport.com/models/34m2WmzRqgw","Model Homes","Astoria (CA) 3NM, The Glen at Tassajara Hills 3883","Toll Brothers","","7321 Colton Hills Drive, Dublin, CA, 94568, US","Public","Not Deleted","2018-02-16","20495","14567","8498"
"The Olimpico Coastal Contemporary","https://my.matterport.com/models/36BbUqVpW2G","Model Homes","Olimpico 4X3, Estancia at Yorba Linda 4322","Toll Brothers","","18360 Tytris Way, Yorba Linda, CA, 92886, US","Public","Not Deleted","2019-02-23","30288","24297","10428"
"The Del Rey Tuscan","https://my.matterport.com/models/37Qy2igd5ju","Archived","Del Rey (CA) 36A, Summit at Baker Ranch 3811","Toll Brothers","","21 Sorrel, Lake Forest, CA, 92630, US","Not Public","Not Deleted","2016-08-31","6787","4767","3173"
"The Aberdeen","https://my.matterport.com/models/38sHDc7rmD1","Spin-Off Home Designs","Delamar 2KD, Regency at Damonte Ranch - Tamarack 3804","Toll Brothers","","9920 Hafflinger Lane, Reno, NV, 89521, US","Public","Not Deleted","2019-02-08","7473","4997","2447"
"The Deerfield Aberdeen","https://my.matterport.com/models/3EaV1YZpPT8","Model Homes","Deerfield 0AA, Hasentree - Golf Villas Collection 3018","Toll Brothers","","1020 Keith Road, Wake Forest, NC, 27587, US","Public","Not Deleted","2017-11-10","12893","8343","4991"
"The Saratoga Italianate","https://my.matterport.com/models/3FGXH9zsFSY","Archived","Saratoga 2HR, Bella Vista at Porter Ranch - Bluffs 3680","Toll Brothers","","12035 Ricasoli Way, Porter Ranch, CA, 91326, US","Not Public","Not Deleted","2016-07-21","11088","6837","3907"
"The Carson Country Manor","https://my.matterport.com/models/3GZQrD3ohyn","Model Homes","Carson 1SZ, Toll Bros. at Inspiration - Jefferson 3837","Toll Brothers","","8383 South Winnipeg Court, Aurora, CO, 80016, US","Public","Not Deleted","2016-06-30","90426","48876","28896"
"The Duke Carolina","https://my.matterport.com/models/3MuqTEy8KM2","Model Homes","Duke 718, Tanglewood Hills 3487","Toll Brothers","","425 Brady Way, Batavia, IL, 60510, US","Public","Not Deleted","2017-09-09","39640","22589","13186"
"The Quinton Transitional","https://my.matterport.com/models/3PGnCm7wCqD","QMI - Staged Homes","Quinton 4FP, NorthGrove - Exec. Col. 3482","Toll Brothers","","8564 Alford Point Dr, Magnolia, TX, 77354, US","Public","Not Deleted","2020-03-25","339","215","164"
"Residences 15-17A","https://my.matterport.com/models/3PVW98XYCNX","91 Leonard","91 Leonard 4323","Toll Brothers City Living","","91 Leonard Street, New York, NY, 10013, US","Public","Not Deleted","2019-09-19","7223","3725","2605"
"The Ralston Country Manor","https://my.matterport.com/models/3Qtg9yk62ZE","Model Homes","Ralston 3DQ, Toll Bros. at Flatiron Meadows - The Vis. 3612","Toll Brothers","","1094 Carbonate Court, Erie, CO, 80516, US","Public","Not Deleted","2018-05-30","159816","96090","50310"
"The Tradition Farmhouse","https://my.matterport.com/models/3TSParudhto","Archived","Tradition 344, Regency at Creekside - The Middleburg 3227","Toll Brothers","","13788 Long Ridge Drive, Haymarket, VA, 20169, US","Not Public","Not Deleted","2016-10-25","65882","40151","22337"
"The Windom Mountain","https://my.matterport.com/models/3WJ2RmyoKgH","Archived","Windom 1RK, Anthem Ranch by Toll Brothers - Broomfield 3490","Toll Brothers","","4118 San Luis Way, Broomfield, CO, 80023, US","Not Public","Not Deleted","2015-10-06","20448","11638","7314"
"The Elkton Williamsburg","https://my.matterport.com/models/3i492QSwkH4","Archived","Elkton 621, Weyhill Estates at Upper Saucon 3183","Toll Brothers","","1920 Rainlilly Drive, Lehigh County, PA, 18034, US","Not Public","Not Deleted","2015-12-04","144853","89102","49701"
"The Crestwood Farmhouse","https://my.matterport.com/models/3pti5TQ3Fm6","Model Homes","Crestwood 4FJ, Trailwoods of Ann Arbor - The Village 4161","Toll Brothers","","6450 North Trailwoods Drive, Ann Arbor, MI, 48103, US","Public","Not Deleted","2018-07-17","32251","18704","10723"
"The Varese Andalusian","https://my.matterport.com/models/3xSLW4HCaQe","Model Homes","Varese 3XZ, Villa Lago at The Promontory 1763","Toll Brothers","","1570 Elmores Way, El Dorado Hills, CA, 95762, US","Not Public","Not Deleted","2017-02-02","18690","12717","7427"
"The Porter Prairie","https://my.matterport.com/models/46FM314qF6N","QMI - Unstaged Homes","Porter 59W, Can. Point at Trav. Mount. - The Cas. Col. 4286","Toll Brothers","","1892 West Oakridge Drive, Lehi, UT, 84043, US","Public","Not Deleted","2020-02-22","1651","878","497"
"The Jackson Shingle","https://my.matterport.com/models/47JDFCARtyr","Model Homes","Jackson 4E4, Meridian Grove 4279","Toll Brothers","","11 232nd Place SE, Bothell, WA, 98021, US","Public","Not Deleted","2019-03-21","23846","13332","6597"
"The Westbury Transitional","https://my.matterport.com/models/48KGKJRkwQ1","QMI - Unstaged Homes","Westbury 4C5, The Reserve at Katy - The Trace 4129","Toll Brothers","","27426 Haywood Lane, Katy, TX, 77494, US","Public","Not Deleted","2020-03-26","88876","38738","25382"
"The Rooftop Terrace at 121 E 22nd","https://my.matterport.com/models/48ZC3W3fCMR","121 East 22nd","121 East 22nd 4041","Toll Brothers City Living","","121 East 22nd Street, New York, NY, 10010, US","Public","Not Deleted","2019-08-30","9982","6044","4795"
"The Logan Mountain","https://my.matterport.com/models/4CbQqvKk6XV","Model Homes","Logan 1SY, Anthem Ranch by Toll Brothers - Jefferson 3489","Toll Brothers","","4118 San Luis Way, Broomfield, CO, 80023, US","Public","Not Deleted","2015-09-02","69434","38632","24753"
"The Trevari Italian Villa","https://my.matterport.com/models/4GBe8FsRMa9","Model Homes","Trevari 2HT, Romana at Gale Ranch 3651","Toll Brothers","","6117 Alpine Blue Drive, San Ramon, CA, 94582, US","Not Public","Not Deleted","2017-02-09","3686","2364","1218"
"The Arroyo Italianate","https://my.matterport.com/models/4HaE1xX1Luo","Archived","Arroyo 483, Windgate Ranch Scottsdale - Cassia 1374","Toll Brothers","","17775 North 101st Way, Scottsdale, AZ, 85255, US","Not Public","Not Deleted","2016-03-10","4156","2259","1599"
"The Abbeyville Chateau","https://my.matterport.com/models/4LjURH1pXYm","Archived","Abbeyville 2K1, Somerset Green 3571","Toll Brothers","","819 Dunleigh Meadows Lane, Houston, TX, 77055, US","Not Public","Not Deleted","2015-11-23","27711","14967","9698"
"The Costa Verde Tuscan","https://my.matterport.com/models/4SA4Yr7PWfF","Archived","Costa Verde 34H, Toll Bros. at Rob.. Ran. - The Vistas 3663","Toll Brothers","","2887 Wellspring Street, Carlsbad, CA, 92010, US","Not Public","Not Deleted","2016-05-27","9351","6721","3696"
"The Reynolds Manor","https://my.matterport.com/models/4SHkTuXhcoN","Model Homes","Reynolds 5BD, Rivington by Toll Bros. - The Ridge Col. 3110","Toll Brothers","","3 Brentwood Cir, Danbury, CT, 06810, US","Public","Not Deleted","2020-02-10","29148","15469","9522"
"The Sycamore Tuscan","https://my.matterport.com/models/4SanGb9WyEL","Model Homes","Sycamore 35Y, Viewpoint at Baker Ranch 3810","Toll Brothers","","50 Cooper, Lake Forest, CA, 92630, US","Public","Not Deleted","2017-04-10","8274","5852","3230"
"The San Tropez Country Manor","https://my.matterport.com/models/4UHyz1oNGwf","Model Homes","San Tropez 384, Coastal Oaks at Nocatree - Ambassador 3195","Toll Brothers","","39 Portsmouth Bay Avenue, Ponte Vedra Beach, FL, 32081, US","Public","Not Deleted","2017-04-21","66192","39132","22198"
"The Bavaro Palm Beach","https://my.matterport.com/models/4UvYLvsW8sS","Model Homes","Bavaro 3PK, Lakeshore - Executive Collection 3546","Toll Brothers","","8836 Lakeshore Pointe Drive, Winter Garden, FL, 34787, US","Public","Not Deleted","2019-06-19","38193","23124","14652"
"The Kirkham","https://my.matterport.com/models/4VLAF1WrZi3","Jan 25 Audit","Kirkham 3WE, Fairhaven - Woodland 4253","Toll Brothers","","6046 E. Canyon Crossing Dr, Nampa, ID, 83687, US","Not Public","Not Deleted","2019-10-24","16617","12249","6414"
"The Washington Design Studio","https://my.matterport.com/models/4eB8uKVzYgn","Design Studios","Washington Design Studio","Toll Brothers","","101 10th Street South Suite 102, Kirkland, WA, 98033, US","Not Public","Not Deleted","2019-09-26","588","167","49"
"The Grandville Heritage","https://my.matterport.com/models/4ewaMtiRZQ9","Archived","Granville 20Q, Coastal Oaks at Nocatee - Ambassador 1758","Toll Brothers","","28 Lighthouse Point Circle, Ponte Vedra Beach, FL, 32081, US","Not Public","Not Deleted","2015-12-15","28446","16910","10541"
"The Colline Tuscan","https://my.matterport.com/models/4j1wx3csHFV","Model Homes","Colline 48J, Borello Ranch Estates 3982","Toll Brothers","","18600 Corte Bautista, Morgan Hill, CA, 95037, US","Public","Not Deleted","2019-02-20","57248","33909","18647"
"The Ashwood Elite Farmhouse","https://my.matterport.com/models/4kn4hkWN2bx","Model Homes","Ashwood Elite 3D4, Sierra Creek at Bella Vista Ranch 3913","Toll Brothers","","9520 Baldacci Court, Reno, NV, 89521, US","Public","Not Deleted","2017-03-31","10252","7315","3893"
"The Bryn Athyn Wellesley","https://my.matterport.com/models/4m4M6XzjiMU","Model Homes","Bryn Athyn 13U, Regency at Yardley - Carriages 3051","Toll Brothers","","159 Tyler Way, Yardley, PA, 19067, US","Public","Not Deleted","2017-07-03","108189","67375","38407"
"The Crimson","https://my.matterport.com/models/4m9Q7szXa5R","Jan 25 Audit","Berkshire (NV) 2KN, Willow Bend at Saddle Ridge 3802","Toll Brothers","","2880 Ethelinda Way, Reno, NV, 89521, US","Not Public","Not Deleted","2019-01-25","4076","2305","1382"
"The Sage Italianate","https://my.matterport.com/models/4mt1RKcs4wk","Archived","Sage 35N, Canyon Oaks 3688","Toll Brothers","","11010 Sweetwater Court, Chatsworth, CA, 91311, US","Not Public","Not Deleted","2016-10-12","92401","58286","32272"
"The Recreation Center at Parkside","https://my.matterport.com/models/4oR8uiujiHq","Amenities","Parkside 3919","Toll Brothers","","1 Pinnacle Drive, Lake Forest, CA, 92630, US","Public","Not Deleted","2017-09-07","2336","1303","1074"
"Residence C-P1","https://my.matterport.com/models/4rmW25VKXVM","Model Homes","Chancery Lane at Metro Crossing 3518","Toll Brothers City Living","","45218 Navigation Street, Fremont, CA, 94539, US","Public","Not Deleted","2020-01-30","26716","16875","10075"
"The Valmont Provincial","https://my.matterport.com/models/4sMWxuraCaq","Archived","Valmont 839, The Preserve at McKay Shores 3159","Toll Brothers","","1680 Tiverton Avenue, Broomfield, CO, 80023, US","Not Public","Not Deleted","2015-10-06","30355","19891","10845"
"The Berks","https://my.matterport.com/models/4tip21SQKai","Archived","Binghamton 0R6, Bethel Crossing 3592","Toll Brothers","","3 North Crossing Way, Bethel, CT, 06801, US","Not Public","Not Deleted","2020-03-24","1256","619","386"
"The Aragon Bordeaux","https://my.matterport.com/models/4uwdMNnm9xy","Archived","Aragon 519, Bonita Lakes - Estates 3057","Toll Brothers","","23023 Sanabria Loop, Bonita Springs, FL, 34135, US","Not Public","Not Deleted","2016-03-28","11720","6378","3739"
"The Westlake Tudor","https://my.matterport.com/models/4wVaapMpVTZ","Model Homes","Westlake 3A9, Ridgeview Crossing - The Villas 6024","Toll Brothers","","2464 Electra Drive, Allen, TX, 75013, US","Public","Not Deleted","2020-01-28","22664","9574","5163"
"The Mayberry Tuscan","https://my.matterport.com/models/4yR4TV4AUze","Archived","Mayberry 2HN, Avila at Porter Ranch - Glen Collection 3681","Toll Brothers","","11939 Mirabel Way, Porter Ranch, CA, 91326, US","Not Public","Not Deleted","2016-07-15","11184","6688","4365"
"The Columbia II Glenshire","https://my.matterport.com/models/53t3eeSprqS","Model Homes","Columbia II 524, Reserve at Medina 3379","Toll Brothers","","787 Aster Road, Medina, MN, 55340, US","Public","Not Deleted","2018-12-14","7240","4628","2634"
"The Amenities at 400 Park Avenue South","https://my.matterport.com/models/54ejSAPiCNW","Archived","400 Park Avenue South 3213","Toll Brothers","","400 Park Avenue South, New York, NY, 10016, US","Not Public","Not Deleted","2016-02-03","31175","10257","8565"
"The Bowan Devonshire","https://my.matterport.com/models/58UJ6CGeibP","Model Homes","Bowan 26Q, Regency at Stow - The Villas Collection 3890","Toll Brothers","","15 Ridgewood Drive, Stow, MA, 01775, US","Public","Not Deleted","2018-02-27","28306","19103","9498"
"The Siuslaw","https://my.matterport.com/models/5CNf2UMasVU","Spin-Off Home Designs","Sahalee 1VM, Bayview at Gig Harbor 4023","Toll Brothers","","13301 55th Avenue Northwest, Gig Harbor, WA, 98332, US","Public","Not Deleted","2018-12-03","12","12","5"
"The Vassar Wellesley","https://my.matterport.com/models/5DFv43kp1y2","Model Homes","Vassar K36, Enclave at Ellis Preserve 3900","Toll Brothers","","202 Parris Boulevard, Newtown Square, PA, 19073, US","Public","Not Deleted","2018-01-25","65877","40049","23229"
"The Senna Santa Barbara","https://my.matterport.com/models/5GfAx4zv4D3","Model Homes","Senna 3EM, Canyons at Porter Ranch - Pointe 3683","Toll Brothers","","20740 West Bur Oak Circle, Northridge, CA, 91326, US","Public","Not Deleted","2018-02-07","50333","34224","21667"
"The Sprague Shingle","https://my.matterport.com/models/5HkUMb5t79P","Model Homes","Sprague 5E1, Toll Bros. at Thompson Woods 4489","Toll Brothers","","12329 NW Fernleaf Lane, Portland, OR, 97229, US","Public","Not Deleted","2020-03-19","21819","11252","6977"
"The Ashton Farmhouse","https://my.matterport.com/models/5RkFo3aBKJJ","Model Homes","Ashton 1YD, Regency at Holmdel 3505","Toll Brothers","","2 Langton Drive, Holmdel, NJ, 07733, US","Public","Not Deleted","2017-06-27","50808","32651","19204"
"The Denver Design Studio","https://my.matterport.com/models/5We3yZN9QaR","Design Studios","Colorado - Denver Design Studio","Toll Brothers","","550 East Thornton Parkway, Suite 200, Thornton, CO 80229, United States","Public","Not Deleted","2018-10-19","29393","18959","10573"
"The Cloverdale Craftsman","https://my.matterport.com/models/5Wx4XRLyfEz","Model Homes","Cloverdale 5K4, Sterling Grove - Sonoma Collection 4184","Toll Brothers","","11829 North San Clemente Street, Surprise, AZ, 85388, US","Public","Not Deleted","2020-01-07","13431","7702","4694"
"The Bristol Wellesley","https://my.matterport.com/models/5Wxxq3XVjcC","Model Homes","Bristol 060, Enclave at Pleasantville 3374","Toll Brothers","","24 Dennis Lane, Pleasantville, NY, 10570, US","Public","Not Deleted","2017-08-17","7135","5079","3150"
"The Branford New England","https://my.matterport.com/models/5YLEFVFyhBS","Model Homes","Branford M99, Rivington by Toll Brothers - The Mews 3109","Toll Brothers","","503 Center Meadow Lane, Danbury, CT, 06810, US","Public","Not Deleted","2017-08-17","9415","5303","3407"
"The Cortina Chateau","https://my.matterport.com/models/5ZS3h3wo1uJ","Model Homes","Cortina 3XU, Villa Lago at The Promontory 1763","Toll Brothers","","1580 Elmores Way, El Dorado Hills, CA, 95762, US","Not Public","Not Deleted","2017-02-01","21788","15456","8907"
"The Lounge at 121 E 22nd","https://my.matterport.com/models/5aPQJWYqQnh","121 East 22nd","121 East 22nd 4041","Toll Brothers City Living","","121 East 22nd Street, New York, NY, 10010, US","Public","Not Deleted","2019-08-30","9094","5715","4664"
"The Treanna Tuscan","https://my.matterport.com/models/5cVdx7VEQpp","Archived","Treanna 71L, Parkland Golf and CC - Heritage Collection 3080","Toll Brothers","","7827 Blue Sage Way, Parkland, FL, 33076, US","Not Public","Not Deleted","2016-02-17","18792","11701","6584"
"The Sandstone Mid-Century Modern","https://my.matterport.com/models/5cqgP5VDi14","Model Homes","Sandstone 5CH, Mesa Ridge - Overlook Collection 4361","Toll Brothers","","0932 White Clay Drive, Las Vegas, NV, 89135, US","Public","Not Deleted","2019-11-13","72721","42879","24703"
